Gene_ID	source_id	Product_Description	Genomic_Length
LAMA_000446200	LAMA_000446200.1	hypothetical protein, conserved	1167
LAMA_000446300	LAMA_000446300.1	hypothetical protein, conserved	912
LAMA_000446400	LAMA_000446400.1	hypothetical protein, conserved	2226
LAMA_000446500	LAMA_000446500.1	hypothetical protein, conserved	699
LAMA_000446600	LAMA_000446600.1	hypothetical protein, conserved	3273
LAMA_000446700	LAMA_000446700.1	hypothetical protein, conserved	339
LAMA_000446800	LAMA_000446800.1	hypothetical protein, conserved	1674
LAMA_000446900	LAMA_000446900.1	hypothetical protein, conserved	2091
LAMA_000447000	LAMA_000447000.1	5-formyltetrahydrofolate cyclo-ligase family, putative	1350
LAMA_000447100	LAMA_000447100.1	HIT domain containing protein, putative	1056
LAMA_000447200	LAMA_000447200.1	hypothetical protein, conserved	1368
LAMA_000447300	LAMA_000447300.1	hypothetical protein, conserved	2019
LAMA_000447400	LAMA_000447400.1	hypothetical protein, conserved	1464
LAMA_000447500	LAMA_000447500.1	Stealth protein CR3, conserved region 3, putative	1323
LAMA_000447600:pseudogene	LAMA_000447600.1	hypothetical protein	1259
LAMA_000447700	LAMA_000447700.1	hypothetical protein, conserved	1332
LAMA_000447800	LAMA_000447800.1	hypothetical protein, conserved	4026
LAMA_000447900	LAMA_000447900.1	hypothetical protein, conserved	1887
LAMA_000448000	LAMA_000448000.1	hypothetical protein, conserved	1401
LAMA_000448100	LAMA_000448100.1	hypothetical protein, conserved	372
LAMA_000448200	LAMA_000448200.1	Domain of unknown function DUF1899/Type of WD40 repeat, putative	1533
LAMA_000448300	LAMA_000448300.1	hypothetical protein, conserved	1056
LAMA_000448400	LAMA_000448400.1	Putative transmembrane family 234, putative	426
LAMA_000448500:pseudogene	LAMA_000448500.1	hypothetical protein, conserved	1521
LAMA_000448600	LAMA_000448600.1	MraW methylase family, putative	1470
LAMA_000448700	LAMA_000448700.1	Sir2 family, putative	963
LAMA_000448800	LAMA_000448800.1	TCP-1/cpn60 chaperonin family, putative	1656
LAMA_000448900	LAMA_000448900.1	hypothetical protein, conserved	234
LAMA_000449000	LAMA_000449000.1	Pentatricopeptide repeat domain/PPR repeat, putative	2127
LAMA_000449100	LAMA_000449100.1	First C2 domain of RPGR-interacting protein 1, putative	4074
LAMA_000449200	LAMA_000449200.1	Rapamycin-insensitive companion of mTOR, N-term/Rapamycin-insensitive companion of mTOR, middle domain/Rapamycin-insensitive companion of mTOR RasGEF_N domain containing protein, putative	4581
LAMA_000449300	LAMA_000449300.1	hypothetical protein, conserved	810
LAMA_000449400	LAMA_000449400.1	hypothetical protein, conserved	1170
LAMA_000449500	LAMA_000449500.1	hypothetical protein	1092
LAMA_000449600	LAMA_000449600.1	XPG N-terminal domain/XPG I-region, putative	3042
LAMA_000449700	LAMA_000449700.1	hypothetical protein, conserved	3459
LAMA_000449800	LAMA_000449800.1	hypothetical protein, conserved	2022
LAMA_000449900	LAMA_000449900.1	Fatty acid hydroxylase superfamily, putative	909
LAMA_000450000	LAMA_000450000.1	Dynein heavy chain, N-terminal region 1/Dynein heavy chain, N-terminal region 2/Hydrolytic ATP binding site of dynein motor region/AAA domain dynein-related subfamily/Dynein heavy chain AAA lid domain/P-loop containing dynein motor region/AAA+ lid domain/P-loop containing dynein motor region D4/Microtubule-binding stalk of dynein motor/ATP-binding dynein motor region/Dynein heavy chain region D6 P-loop domain/Dynein heavy chain C-terminal domain containing protein, putative	14274
LAMA_000450100	LAMA_000450100.1	hypothetical protein, conserved	570
LAMA_000450200	LAMA_000450200.1	DNA polymerase family B, putative	9180
LAMA_000450300	LAMA_000450300.1	hypothetical protein, conserved	2049
LAMA_000450400	LAMA_000450400.1	Radical SAM superfamily/Radical_SAM C-terminal domain/Acetyltransferase GNAT family, putative	2109
LAMA_000450500	LAMA_000450500.1	hypothetical protein, conserved	1248
LAMA_000450600	LAMA_000450600.1	Mitochondrial carrier protein, putative	1200
LAMA_000450700	LAMA_000450700.1	DEAD/DEAH box helicase/Helicase conserved C-terminal domain containing protein, putative	5649
LAMA_000450800	LAMA_000450800.1	hypothetical protein, conserved	498
LAMA_000450900	LAMA_000450900.1	Ran-interacting Mog1 protein, putative	642
LAMA_000451000:pseudogene	LAMA_000451000.1	hypothetical protein, conserved	986
LAMA_000451100	LAMA_000451100.1	2Fe-2S iron-sulfur cluster binding domain containing protein, putative	744
LAMA_000451200	LAMA_000451200.1	DHHC palmitoyltransferase, putative	966
LAMA_000451300	LAMA_000451300.1	DHHC palmitoyltransferase, putative	1356
LAMA_000451400	LAMA_000451400.1	DHHC palmitoyltransferase, putative	1914
LAMA_000451500	LAMA_000451500.1	Inositol hexakisphosphate, putative	5163
LAMA_000451600	LAMA_000451600.1	hypothetical protein, conserved	858
LAMA_000451700	LAMA_000451700.1	hypothetical protein, conserved	720
LAMA_000451800	LAMA_000451800.1	Ciliary basal body-associated, B9 protein, putative	2022
LAMA_000451900	LAMA_000451900.1	hypothetical protein, conserved	417
LAMA_000452000	LAMA_000452000.1	RING-H2 zinc finger domain/Zinc finger, C3HC4 type RING finger/Ring finger domain containing protein, putative	1206
LAMA_000452100	LAMA_000452100.1	Vesicle transport v-SNARE protein N-terminus, putative	753
LAMA_000452200	LAMA_000452200.1	Vesicle transport v-SNARE protein N-terminus/Snare region anchored in the vesicle membrane C-terminus, putative	849
LAMA_000452300	LAMA_000452300.1	hypothetical protein, conserved	2550
LAMA_000452400	LAMA_000452400.1	hypothetical protein, conserved	858
LAMA_000452500	LAMA_000452500.1	hypothetical protein, conserved	952
LAMA_000452600	LAMA_000452600.1	Trichohyalin-plectin-homology domain containing protein, putative	1473
LAMA_000452700	LAMA_000452700.1	hypothetical protein	450
LAMA_000452800	LAMA_000452800.1	GAF domain/TIP41-like family, putative	1569
LAMA_000452900	LAMA_000452900.1	hypothetical protein, conserved	660
LAMA_000453000	LAMA_000453000.1	Alanine racemase, N-terminal domain containing protein, putative	738
LAMA_000453100	LAMA_000453100.1	hypothetical protein, conserved	918
LAMA_000453200	LAMA_000453200.1	hypothetical protein, conserved	1407
LAMA_000453300	LAMA_000453300.1	V-type ATPase 116kDa subunit family, putative	2328
LAMA_000453400	LAMA_000453400.1	UbiA prenyltransferase family, putative	1302
LAMA_000453500	LAMA_000453500.1	hypothetical protein, conserved	1956
LAMA_000453600	LAMA_000453600.1	hypothetical protein, conserved	2883
LAMA_000453700	LAMA_000453700.1	hypothetical protein, conserved	2385
LAMA_000453800	LAMA_000453800.1	hypothetical protein, conserved	1020
LAMA_000453900	LAMA_000453900.1	Beige/BEACH domain containing protein, putative	2778
LAMA_000454000	LAMA_000454000.1	Nucleoside 2-deoxyribosyltransferase, putative	468
LAMA_000454100	LAMA_000454100.1	Mitochondrial branched-chain alpha-ketoacid dehydrogenase kinase, putative	1356
LAMA_000454200	LAMA_000454200.1	ANTH domain containing protein, putative	1452
LAMA_000454300	LAMA_000454300.1	hypothetical protein, conserved	501
LAMA_000454400	LAMA_000454400.1	hypothetical protein, conserved	1401
LAMA_000454500	LAMA_000454500.1	hypothetical protein, conserved	1260
LAMA_000454600	LAMA_000454600.1	hypothetical protein, conserved	1320
LAMA_000454700	LAMA_000454700.1	Ring finger domain/Zinc finger, C3HC4 type RING finger/RING-type zinc-finger containing protein, putative	1782
LAMA_000454800	LAMA_000454800.1	Protein of unknown function DUF3592, putative	744
LAMA_000454900	LAMA_000454900.1	Calmodulin-binding, putative	840
LAMA_000455000	LAMA_000455000.1	Poly A polymerase regulatory subunit, putative	1317
LAMA_000455100	LAMA_000455100.1	hypothetical protein, conserved	1668
LAMA_000455200	LAMA_000455200.1	hypothetical protein, conserved	870
LAMA_000455300	LAMA_000455300.1	Phosducin, putative	729
LAMA_000455400	LAMA_000455400.1	ATPase family associated with various cellular activities AAA, putative	1608
LAMA_000455500	LAMA_000455500.1	hypothetical protein, conserved	2442
LAMA_000455600	LAMA_000455600.1	hypothetical protein, conserved	708
LAMA_000455700	LAMA_000455700.1	Transcription factor S-II TFIIS, central domain/Transcription factor S-II TFIIS/Baculoviridae late expression factor 5 C-terminal domain containing protein, putative	1014
LAMA_000455800	LAMA_000455800.1	hypothetical protein, conserved	1020
LAMA_000455900	LAMA_000455900.1	Inner membrane component of T3SS, cytoplasmic domain/FHA domain/Protein kinase domain/Protein tyrosine kinase, putative	1632
LAMA_000456000	LAMA_000456000.1	Histone-binding protein RBBP4 or subunit C of CAF1 complex, putative	1401
LAMA_000456100	LAMA_000456100.1	DEAD/DEAH box helicase/Type III restriction enzyme, res subunit/Helicase conserved C-terminal domain containing protein, putative	1818
LAMA_000456200	LAMA_000456200.1	hypothetical protein, conserved	9560
LAMA_000456300	LAMA_000456300.1	Calcineurin-like phosphoesterase, putative	4137
LAMA_000456400	LAMA_000456400.1	WD domain, G-beta repeat, putative	2061
LAMA_000456500	LAMA_000456500.1	NLI interacting factor-like phosphatase, putative	717
LAMA_000456600	LAMA_000456600.1	hypothetical protein, conserved	5376
LAMA_000456700	LAMA_000456700.1	hypothetical protein, conserved	960
LAMA_000456800	LAMA_000456800.1	Fumarate hydratase Fumerase/Fumarase C-terminus, putative	1650
LAMA_000456900	LAMA_000456900.1	Mitochondrial small ribosomal subunit Rsm22, putative	3123
LAMA_000457000	LAMA_000457000.1	Type I phosphodiesterase / nucleotide pyrophosphatase, putative	2928
LAMA_000457100	LAMA_000457100.1	hypothetical protein, conserved	771
LAMA_000457200	LAMA_000457200.1	Nucleotide-sugar transporter, putative	1388
LAMA_000457300	LAMA_000457300.1	Aminotransferase class I and II, putative	1296
LAMA_000457400	LAMA_000457400.1	hypothetical protein, conserved	2976
LAMA_000457500	LAMA_000457500.1	hypothetical protein, conserved	2316
LAMA_000457600	LAMA_000457600.1	hypothetical protein, conserved	1983
LAMA_000457700	LAMA_000457700.1	hypothetical protein, conserved	2247
LAMA_000457800	LAMA_000457800.1	Ubiquitin carboxyl-terminal hydrolase, family 1/Ubiquitin carboxyl-terminal hydrolases, putative	924
LAMA_000457900	LAMA_000457900.1	hypothetical protein, conserved	4015
LAMA_000458000	LAMA_000458000.1	Stealth protein CR2, conserved region 2, putative	1281
LAMA_000458100	LAMA_000458100.1	ThiF family, putative	900
LAMA_000458200	LAMA_000458200.1	hypothetical protein, conserved	1266
LAMA_000458300	LAMA_000458300.1	Kelch motif/Galactose oxidase, central domain containing protein, putative	3663
LAMA_000458400	LAMA_000458400.1	Leucine-rich repeat/Leucine Rich repeats 2 copies/Leucine Rich repeat/Leucine rich repeat, putative	5352
LAMA_000458500	LAMA_000458500.1	hypothetical protein, conserved	717
LAMA_000458600	LAMA_000458600.1	hypothetical protein, conserved	2331
LAMA_000458700	LAMA_000458700.1	DnaJ domain containing protein, putative	2379
LAMA_000458800	LAMA_000458800.1	hypothetical protein, conserved	684
LAMA_000458900	LAMA_000458900.1	Methyltransferase TRM13, putative	1389
LAMA_000459000	LAMA_000459000.1	hypothetical protein	691
LAMA_000459100:pseudogene	LAMA_000459100.1	hypothetical protein	388
LAMA_000459200	LAMA_000459200.1	hypothetical protein, conserved	393
LAMA_000459300	LAMA_000459300.1	hypothetical protein, conserved	267
LAMA_000459400	LAMA_000459400.1	hypothetical protein, conserved	1086
LAMA_000459500	LAMA_000459500.1	hypothetical protein, conserved	2064
LAMA_000459600	LAMA_000459600:tRNA	unspecified product	72
LAMA_000459700	LAMA_000459700.1	Ribosome 60S biogenesis N-terminal, putative	5328
LAMA_000459800	LAMA_000459800.1	Type III restriction enzyme, res subunit/SNF2 family N-terminal domain/Helicase conserved C-terminal domain containing protein, putative	3273
LAMA_000459900	LAMA_000459900.1	Ubiquitin carboxyl-terminal hydrolase, putative	2421
LAMA_000460000	LAMA_000460000.1	Microtubule binding/Kinesin motor domain containing protein, putative	1242
LAMA_000460100:pseudogene	LAMA_000460100.1	hypothetical protein	479
LAMA_000460200	LAMA_000460200.1	PPPDE putative peptidase domain containing protein, putative	2907
LAMA_000460300	LAMA_000460300.1	hypothetical protein, conserved	2292
LAMA_000460400:pseudogene	LAMA_000460400.1	Protein tyrosine kinase/Protein kinase domain containing protein, putative	3484
LAMA_000460500	LAMA_000460500.1	Sugar and other transporter/Major Facilitator Superfamily, putative	1617
LAMA_000460600	LAMA_000460600.1	hypothetical protein, conserved	528
LAMA_000460700	LAMA_000460700.1	hypothetical protein, conserved	2883
LAMA_000460800	LAMA_000460800.1	Protein of unknown function DUF523, putative	1242
LAMA_000460900	LAMA_000460900.1	hypothetical protein, conserved	258
LAMA_000461000	LAMA_000461000.1	SRP54-type protein, helical bundle domain/SRP54-type protein, GTPase domain/CobW/HypB/UreG, nucleotide-binding domain/Signal peptide binding domain containing protein, putative	1560
LAMA_000461100	LAMA_000461100.1	hypothetical protein, conserved	3237
LAMA_000461200	LAMA_000461200.1	HAD domain in Swiss Army Knife RNA repair proteins, putative	981
LAMA_000461300	LAMA_000461300.1	Type III restriction enzyme, res subunit/DEAD/DEAH box helicase/SNF2 family N-terminal domain/Helicase conserved C-terminal domain containing protein, putative	3390
LAMA_000461400	LAMA_000461400.1	Malic enzyme, N-terminal domain/Malic enzyme, NAD binding domain containing protein, putative	1716
LAMA_000461500	LAMA_000461500.1	Malic enzyme, N-terminal domain/Malic enzyme, NAD binding domain containing protein, putative	1722
LAMA_000461600	LAMA_000461600.1	hypothetical protein, conserved	891
LAMA_000461700	LAMA_000461700.1	hypothetical protein, conserved	1754
LAMA_000461800	LAMA_000461800.1	hypothetical protein, conserved	1761
LAMA_000461900	LAMA_000461900.1	Exonuclease/RNA 2-phosphotransferase, Tpt1 / KptA family, putative	1752
LAMA_000462000	LAMA_000462000.1	SacI homology domain/Protein of unknown function, DUF547, putative	8268
LAMA_000462100	LAMA_000462100.1	hypothetical protein, conserved	2436
LAMA_000462200	LAMA_000462200.1	Axonemal dynein light chain, putative	714
LAMA_000462300	LAMA_000462300.1	Triosephosphate isomerase, putative	756
LAMA_000462400	LAMA_000462400.1	hypothetical protein, conserved	1047
LAMA_000462500	LAMA_000462500.1	emp24/gp25L/p24 family/GOLD, putative	684
LAMA_000462600	LAMA_000462600.1	hypothetical protein, conserved	354
LAMA_000462700	LAMA_000462700.1	DNA polymerase family A, putative	3516
LAMA_000462800	LAMA_000462800.1	hypothetical protein, conserved	3954
LAMA_000462900	LAMA_000462900.1	MCM N-terminal domain/MCM OB domain/MCM P-loop domain/Magnesium chelatase, subunit ChlI/MCM AAA-lid domain containing protein, putative	2406
LAMA_000463000	LAMA_000463000.1	hypothetical protein, conserved	1329
LAMA_000463100	LAMA_000463100.1	hypothetical protein, conserved	2790
LAMA_000463200	LAMA_000463200.1	hypothetical protein, conserved	348
LAMA_000463300	LAMA_000463300.1	Rab-GTPase-TBC domain containing protein, putative	1200
LAMA_000463400	LAMA_000463400.1	hypothetical protein, conserved	3027
LAMA_000463500	LAMA_000463500.1	hypothetical protein, conserved	2256
LAMA_000463600	LAMA_000463600.1	hypothetical protein, conserved	4698
LAMA_000463700	LAMA_000463700.1	Rad17 P-loop domain/ATPase family associated with various cellular activities AAA/Replication factor RFC1 C terminal domain containing protein, putative	1751
LAMA_000463800	LAMA_000463800.1	Mnd1 HTH domain containing protein, putative	1284
LAMA_000463900	LAMA_000463900.1	F-box-like/F-box domain/Galactose oxidase, central domain/Kelch motif containing protein, putative	3033
LAMA_000464000	LAMA_000464000.1	Leucine rich repeat/Leucine-rich repeat/Leucine Rich repeats 2 copies, putative	633
LAMA_000464100:pseudogene	LAMA_000464100.1	hypothetical protein, conserved	2778
LAMA_000464200	LAMA_000464200.1	SNF2 family N-terminal domain/Helicase conserved C-terminal domain containing protein, putative	3786
LAMA_000464300	LAMA_000464300.1	AKAP7 25 RNA ligase-like domain containing protein, putative	1524
LAMA_000464400	LAMA_000464400.1	hypothetical protein, conserved	7533
LAMA_000464500	LAMA_000464500.1	DnaJ domain containing protein, putative	1302
LAMA_000464600	LAMA_000464600.1	hypothetical protein, conserved	1584
LAMA_000464700	LAMA_000464700.1	Helicase conserved C-terminal domain/Helicase associated domain HA2/Oligonucleotide/oligosaccharide-binding OB-fold, putative	3264
LAMA_000464800	LAMA_000464800.1	hypothetical protein, conserved	1797
LAMA_000464900:pseudogene	LAMA_000464900.1	hypothetical protein	1640
LAMA_000465000	LAMA_000465000.1	hypothetical protein	705
LAMA_000465100	LAMA_000465100.1	hypothetical protein	753
LAMA_000465200	LAMA_000465200.1	hypothetical protein, conserved	2769
LAMA_000465300	LAMA_000465300.1	hypothetical protein, conserved	2409
LAMA_000465400	LAMA_000465400.1	hypothetical protein, conserved	2958
LAMA_000465500	LAMA_000465500.1	hypothetical protein, conserved	1143
LAMA_000465600	LAMA_000465600.1	DNA-dependent RNA polymerase, putative	4536
LAMA_000465700	LAMA_000465700.1	hypothetical protein, conserved	2934
LAMA_000465800	LAMA_000465800.1	hypothetical protein	777
LAMA_000465900	LAMA_000465900.1	hypothetical protein, conserved	3525
LAMA_000466000	LAMA_000466000.1	Surfeit locus protein 6, putative	759
LAMA_000466100	LAMA_000466100.1	Bax inhibitor 1 like/Inhibitor of apoptosis-promoting Bax1, putative	942
LAMA_000466200	LAMA_000466200.1	YL1 nuclear protein, putative	975
LAMA_000466300	LAMA_000466300.1	Translation initiation factor SUI1, putative	324
LAMA_000466400	LAMA_000466400.1	hypothetical protein, conserved	1623
LAMA_000466500	LAMA_000466500.1	hypothetical protein, conserved	1863
LAMA_000466600	LAMA_000466600.1	hypothetical protein, conserved	1830
LAMA_000466700	LAMA_000466700.1	hypothetical protein	521
LAMA_000466800	LAMA_000466800.1	Amastin surface glycoprotein, putative	519
LAMA_000466900	LAMA_000466900.1	Amastin surface glycoprotein, putative	525
LAMA_000467000	LAMA_000467000.1	WASH complex subunit 7, N-terminal/WASH complex subunit 7/WASH complex subunit 7, C-terminal, putative	4155
LAMA_000467100	LAMA_000467100.1	DnaJ domain containing protein, putative	2427
LAMA_000467200	LAMA_000467200.1	hypothetical protein, conserved	765
LAMA_000467300	LAMA_000467300.1	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD, putative	729
LAMA_000467400	LAMA_000467400.1	Transport protein particle TRAPP component, putative	333
LAMA_000467500	LAMA_000467500.1	hypothetical protein, conserved	258
LAMA_000467600	LAMA_000467600.1	Elongation factor Tu GTP binding domain/50S ribosome-binding GTPase/Ethanolamine utilisation - propanediol utilisation/Translation-initiation factor 2, putative	2664
LAMA_000467700	LAMA_000467700.1	IQ calmodulin-binding motif containing protein, putative	2667
LAMA_000467800	LAMA_000467800.1	High-temperature-induced dauer-formation protein/Dyggve-Melchior-Clausen syndrome protein, putative	2715
LAMA_000467900	LAMA_000467900.1	Histone deacetylase domain containing protein, putative	1638
LAMA_000468000	LAMA_000468000.1	Zinc finger, C3HC4 type RING finger/Ring finger domain/RING-type zinc-finger/zinc-RING finger domain/Prokaryotic RING finger family 4, putative	737
LAMA_000468100	LAMA_000468100.1	Zinc finger, C3HC4 type RING finger/Ring finger domain/RING-type zinc-finger/zinc-RING finger domain containing protein, putative	554
LAMA_000468200	LAMA_000468200.1	hypothetical protein, conserved	603
LAMA_000468300	LAMA_000468300.1	hypothetical protein, conserved	2715
LAMA_000468400:pseudogene	LAMA_000468400.1	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase/DNA mismatch repair protein, C-terminal domain/DNA mismatch repair protein Mlh1 C-terminus, putative	4121
LAMA_000468500	LAMA_000468500.1	Kinesin motor domain/Microtubule binding, putative	9879
LAMA_000468600	LAMA_000468600.1	hypothetical protein, conserved	2796
LAMA_000468700	LAMA_000468700.1	Protein of unknown function DUF563, putative	1278
LAMA_000468800	LAMA_000468800.1	RNA recognition motif. a.k.a. RRM, RBD, or RNP domain, putative	2427
LAMA_000468900	LAMA_000468900.1	HpcH/HpaI aldolase/citrate lyase family, putative	1596
LAMA_000469000	LAMA_000469000.1	Protein kinase domain/Protein tyrosine kinase/Lipopolysaccharide kinase Kdo/WaaP family, putative	1815
LAMA_000469100	LAMA_000469100.1	ABC transporter transmembrane region/ABC transporter, putative	9786
LAMA_000469200	LAMA_000469200.1	hypothetical protein, conserved	2490
LAMA_000469300	LAMA_000469300.1	hypothetical protein, conserved	8713
LAMA_000469400	LAMA_000469400.1	hypothetical protein, conserved	1881
LAMA_000469500	LAMA_000469500.1	hypothetical protein, conserved	1191
LAMA_000469600	LAMA_000469600.1	hypothetical protein, conserved	1671
LAMA_000469700	LAMA_000469700.1	hypothetical protein, conserved	192
LAMA_000469800	LAMA_000469800.1	Anaphase-promoting complex subunit 11 RING-H2 finger/Zinc finger, C3HC4 type RING finger/RING-H2 zinc finger domain/Ring finger domain containing protein, putative	360
LAMA_000469900	LAMA_000469900.1	Glutathione S-transferase N-terminal domain/Outer mitochondrial membrane transport complex protein/Glutathione S-transferase, C-terminal domain containing protein, putative	1200
LAMA_000470000	LAMA_000470000.1	hypothetical protein	552
LAMA_000470100	LAMA_000470100.1	FAD binding domain/Fumarate reductase flavoprotein C-term, putative	1824
LAMA_000470200	LAMA_000470200.1	NAD dependent epimerase/dehydratase family/Male sterility protein, putative	1740
LAMA_000470300	LAMA_000470300:snRNA	unspecified product	98
LAMA_000470400	LAMA_000470400:tRNA	unspecified product	75
LAMA_000470500	LAMA_000470500:tRNA	unspecified product	84
LAMA_000470600	LAMA_000470600:tRNA	unspecified product	75
LAMA_000470700	LAMA_000470700.1	hypothetical protein, conserved	1599
LAMA_000470800	LAMA_000470800.1	SpoU rRNA Methylase family, putative	1554
LAMA_000470900	LAMA_000470900.1	hypothetical protein, conserved	825
LAMA_000471000	LAMA_000471000.1	von Willebrand factor type A domain/Ssl1-like, putative	1272
LAMA_000471100	LAMA_000471100.1	SET domain containing protein, putative	1140
LAMA_000471200	LAMA_000471200.1	hypothetical protein, conserved	1413
LAMA_000471300	LAMA_000471300.1	Ubiquitin-conjugating enzyme, putative	579
LAMA_000471400	LAMA_000471400.1	Anaphase-promoting complex subunit 4 WD40 domain/WD domain, G-beta repeat, putative	2508
LAMA_000471500	LAMA_000471500.1	Protein kinase domain/Protein tyrosine kinase, putative	4314
LAMA_000471600	LAMA_000471600.1	Aminomethyltransferase folate-binding domain containing protein, putative	1170
LAMA_000471700	LAMA_000471700.1	SET domain containing protein, putative	2238
LAMA_000471800	LAMA_000471800.1	hypothetical protein, conserved	813
LAMA_000471900	LAMA_000471900.1	Chagasin family peptidase inhibitor I42, putative	342
LAMA_000472000	LAMA_000472000.1	hypothetical protein, conserved	3963
LAMA_000472100	LAMA_000472100.1	RNA recognition motif. a.k.a. RRM, RBD, or RNP domain, putative	774
LAMA_000472200	LAMA_000472200.1	hypothetical protein, conserved	321
LAMA_000472300	LAMA_000472300.1	short chain dehydrogenase/KR domain/Enoyl-Acyl carrier protein reductase, putative	1323
LAMA_000472400	LAMA_000472400.1	KR domain/short chain dehydrogenase/Enoyl-Acyl carrier protein reductase, putative	1521
LAMA_000472500	LAMA_000472500.1	hypothetical protein, conserved	723
LAMA_000472600	LAMA_000472600.1	Phospholipase/Carboxylesterase, putative	837
LAMA_000472700	LAMA_000472700.1	hypothetical protein, conserved	1236
LAMA_000472800	LAMA_000472800:tRNA	unspecified product	72
LAMA_000472900	LAMA_000472900.1	hypothetical protein, conserved	1566
LAMA_000473000	LAMA_000473000.1	hypothetical protein, conserved	3873
LAMA_000473100	LAMA_000473100.1	Cyclin/Cyclin, N-terminal domain containing protein, putative	2808
LAMA_000473200	LAMA_000473200.1	Cyclin/Cyclin, N-terminal domain containing protein, putative	1965
LAMA_000473300	LAMA_000473300.1	WD domain, G-beta repeat/PFU PLAA family ubiquitin binding, putative	2523
LAMA_000473400	LAMA_000473400.1	hypothetical protein, conserved	1458
LAMA_000473500	LAMA_000473500.1	hypothetical protein, conserved	363
LAMA_000473600	LAMA_000473600.1	hypothetical protein, conserved	1572
LAMA_000473700	LAMA_000473700.1	hypothetical protein, conserved	2118
LAMA_000473800:pseudogene	LAMA_000473800.1	hypothetical protein, conserved	1132
LAMA_000473900	LAMA_000473900.1	hypothetical protein, conserved	2376
LAMA_000474000	LAMA_000474000.1	hypothetical protein, conserved	2601
LAMA_000474100	LAMA_000474100.1	hypothetical protein, conserved	2271
LAMA_000474200	LAMA_000474200.1	hypothetical protein, conserved	801
LAMA_000474300	LAMA_000474300.1	hypothetical protein, conserved	1059
LAMA_000474400	LAMA_000474400.1	Phosphorylated CTD interacting factor 1 WW domain containing protein, putative	1773
LAMA_000474500	LAMA_000474500.1	Phosphoinositide 3-kinase family, accessory domain PIK domain/Phosphatidylinositol 3- and 4-kinase, putative	3270
LAMA_000474600	LAMA_000474600.1	Tubulin folding cofactor D C terminal, putative	4272
LAMA_000474700	LAMA_000474700.1	NAD dependent epimerase/dehydratase family/short chain dehydrogenase/KR domain/Enoyl-Acyl carrier protein reductase, putative	780
LAMA_000474800	LAMA_000474800.1	BolA-like protein, putative	267
LAMA_000474900:pseudogene	LAMA_000474900.1	hypothetical protein, conserved	503
LAMA_000475000	LAMA_000475000.1	Ribosomal proteins L26 eukaryotic, L24P archaeal/KOW motif containing protein, putative	438
LAMA_000475100	LAMA_000475100.1	Transketolase, thiamine diphosphate binding domain/Transketolase, pyrimidine binding domain/Transketolase, C-terminal domain containing protein, putative	2016
LAMA_000475200	LAMA_000475200.1	Ribosomal protein S8e, putative	657
LAMA_000475300	LAMA_000475300.1	Ribosomal protein S8e, putative	657
LAMA_000475400	LAMA_000475400.1	Kelch motif/Galactose oxidase, central domain containing protein, putative	1137
LAMA_000475500	LAMA_000475500.1	hypothetical protein, conserved	921
LAMA_000475600	LAMA_000475600.1	Hydroxymethylglutaryl-coenzyme A synthase N terminal, putative	1506
LAMA_000475700	LAMA_000475700.1	hypothetical protein, conserved	3598
LAMA_000475800	LAMA_000475800.1	Ubiquitin-conjugating enzyme, putative	468
LAMA_000475900	LAMA_000475900.1	Ubiquitin-conjugating enzyme, putative	981
LAMA_000476000	LAMA_000476000.1	hypothetical protein, conserved	429
LAMA_000476100	LAMA_000476100.1	Glycerophosphoryl diester phosphodiesterase family, putative	1002
LAMA_000476200	LAMA_000476200.1	Vacuolar-sorting protein 54, of GARP complex/Protein of unknown function C-terminus DUF2451, putative	3039
LAMA_000476300	LAMA_000476300.1	hypothetical protein, conserved	4317
LAMA_000476400	LAMA_000476400.1	hypothetical protein, conserved	744
LAMA_000476500	LAMA_000476500.1	Pentacotripeptide-repeat region of PRORP/Pentatricopeptide repeat domain containing protein, putative	741
LAMA_000476600	LAMA_000476600.1	Ribosomal protein L11, RNA binding domain containing protein, putative	499
LAMA_000476700	LAMA_000476700.1	hypothetical protein, conserved	1191
LAMA_000476800	LAMA_000476800.1	hypothetical protein, conserved	528
LAMA_000476900	LAMA_000476900.1	Family of unknown function DUF5522/Cobalamin adenosyltransferase, putative	1131
LAMA_000477000	LAMA_000477000.1	Fatty acid desaturase/Cytochrome b5-like Heme/Steroid binding domain containing protein, putative	1296
LAMA_000477100	LAMA_000477100.1	NLE NUC135 domain/WD domain, G-beta repeat/Anaphase-promoting complex subunit 4 WD40 domain containing protein, putative	1569
LAMA_000477200	LAMA_000477200.1	DHHC palmitoyltransferase, putative	837
LAMA_000477300	LAMA_000477300.1	DEAD_2/Helical and beta-bridge domain/Helicase C-terminal domain containing protein, putative	2442
LAMA_000477400	LAMA_000477400.1	Cullin family/Cullin protein neddylation domain containing protein, putative	2235
LAMA_000477500	LAMA_000477500.1	hypothetical protein, conserved	711
LAMA_000477600	LAMA_000477600.1	hypothetical protein, conserved	492
LAMA_000477700	LAMA_000477700.1	Protein tyrosine kinase/Protein kinase domain containing protein, putative	1053
LAMA_000477800	LAMA_000477800.1	hypothetical protein, conserved	777
LAMA_000477900	LAMA_000477900.1	SpoU rRNA Methylase family, putative	1440
